Time: 1m0s - Junction B: 0 cars through from North, 0 cars waiting.
Time: 2m0s - Junction B: 10 cars through from East, 0 cars waiting.
Time: 3m0s - Junction B: 11 cars through from South, 6 cars waiting.
Time: 4m0s - Junction B: 0 cars through from North, 0 cars waiting.
Time: 5m0s - Junction B: 12 cars through from East, 3 cars waiting.
Time: 6m0s - Junction B: 9 cars through from South, 0 cars waiting.
Time: 7m0s - Junction B: 0 cars through from North, 0 cars waiting.
Time: 8m0s - Junction B: 12 cars through from East, 6 cars waiting.
Time: 9m0s - Junction B: 12 cars through from South, 6 cars waiting.
Time: 10m0s - Junction B: 0 cars through from North, 0 cars waiting.
